Fq (MHz),Relative Power,?,Radial Velocity (km/s)
1419.128125,0.03413,0.00044,77.641304
1419.129297,0.034215,0.000441,77.617233
1419.130469,0.034273,0.000441,77.662422
1419.131641,0.034341,0.000442,77.687103
1419.132812,0.034495,0.000442,78.087624
1419.133984,0.034589,0.000443,78.164215
1419.135156,0.034596,0.000444,77.877365
1419.136328,0.034714,0.000446,77.842804
1419.1375,0.034866,0.000448,77.885612
1419.138672,0.034923,0.000448,77.945984
1419.139844,0.03497,0.000448,77.993027
1419.141016,0.03503,0.000449,77.973831
1419.142187,0.035108,0.00045,78.042496
1419.143359,0.035141,0.00045,78.021477
1419.144531,0.035153,0.000452,77.76429
1419.145703,0.035189,0.000455,77.389267
1419.146875,0.035248,0.000456,77.310959
1419.148047,0.035424,0.000457,77.576431
1419.149219,0.03554,0.000457,77.775711
1419.150391,0.035602,0.000457,77.886101
1419.151562,0.035648,0.000458,77.905083
1419.152734,0.035708,0.000458,77.925323
1419.153906,0.035773,0.000459,77.898056
1419.155078,0.035806,0.00046,77.843071
1419.15625,0.035816,0.000461,77.724411
1419.157422,0.035866,0.000462,77.67189
1419.158594,0.035955,0.000462,77.876137
1419.159766,0.036085,0.000463,77.903473
1419.160938,0.036172,0.000465,77.861351
1419.162109,0.036172,0.000465,77.706444
1419.163281,0.036203,0.000466,77.631493
1419.164453,0.036299,0.000467,77.674263
1419.165625,0.036377,0.000468,77.70565
1419.166797,0.036435,0.000468,77.797096
1419.167969,0.036481,0.000469,77.727119
1419.169141,0.036508,0.000471,77.592888
1419.170312,0.036593,0.000471,77.657707
1419.171484,0.03672,0.000472,77.824028
1419.172656,0.036813,0.000473,77.786613
1419.173828,0.036789,0.000474,77.617783
1419.175,0.036759,0.000475,77.347984
1419.176172,0.036936,0.000476,77.562263
1419.177344,0.037044,0.000476,77.895477
1419.178516,0.036977,0.000476,77.739296
1419.179688,0.037022,0.000478,77.512955
1419.180859,0.037129,0.000478,77.67617
1419.182031,0.037133,0.000477,77.792786
1419.183203,0.037219,0.000479,77.758751
1419.184375,0.037364,0.00048,77.877563
1419.185547,0.03739,0.00048,77.858612
1419.186719,0.037346,0.000481,77.665939
1419.187891,0.037408,0.000482,77.595871
1419.189062,0.037534,0.000483,77.69381
1419.190234,0.037554,0.000484,77.641693
1419.191406,0.037547,0.000483,77.662979
1419.192578,0.037543,0.000484,77.552979
1419.19375,0.037557,0.000485,77.437729
1419.194922,0.037585,0.000486,77.404816
1419.196094,0.037658,0.000486,77.532478
1419.197266,0.037755,0.000486,77.668037
1419.198437,0.037805,0.000486,77.745506
1419.199609,0.037836,0.000487,77.644905
1419.200781,0.037928,0.000489,77.569489
1419.201953,0.038028,0.00049,77.582855
1419.203125,0.038111,0.00049,77.798492
1419.204297,0.038083,0.00049,77.740356
1419.205469,0.037958,0.000491,77.355583
1419.206641,0.037957,0.000491,77.257957
1419.207813,0.038088,0.000492,77.493011
1419.208984,0.038148,0.000492,77.526215
1419.210156,0.038198,0.000493,77.435608
1419.211328,0.038262,0.000493,77.542686
1419.2125,0.038316,0.000494,77.582108
1419.213672,0.038284,0.000495,77.269798
1419.214844,0.038301,0.000496,77.174927
1419.216016,0.038365,0.000495,77.53801
1419.217187,0.038481,0.000494,77.901848
1419.218359,0.038519,0.000496,77.682213
1419.219531,0.038566,0.000497,77.585106
1419.220703,0.038467,0.000498,77.267853
1419.221875,0.038396,0.000498,77.116714
1419.223047,0.038522,0.000498,77.429649
1419.224219,0.038623,0.000497,77.74601
1419.225391,0.038752,0.000498,77.792931
1419.226562,0.038859,0.0005,77.672745
1419.227734,0.038819,0.000501,77.515106
1419.228906,0.038827,0.0005,77.718391
1419.230078,0.038835,0.000499,77.837234
1419.23125,0.03887,0.000499,77.818115
1419.232422,0.038938,0.000501,77.77771
1419.233594,0.038885,0.000502,77.51828
1419.234766,0.038919,0.000502,77.549919
1419.235937,0.038988,0.000502,77.671204
1419.237109,0.038965,0.000503,77.525513
1419.238281,0.039026,0.000503,77.624603
1419.239453,0.039143,0.000503,77.796989
1419.240625,0.03916,0.000504,77.641739
1419.241797,0.039094,0.000504,77.523819
1419.242969,0.039128,0.000504,77.570518
1419.244141,0.039251,0.000504,77.844124
1419.245312,0.039213,0.000505,77.717194
1419.246484,0.039182,0.000505,77.572838
1419.247656,0.039142,0.000506,77.373283
1419.248828,0.038981,0.000506,77.070107
1419.25,0.038979,0.000505,77.142555
1419.251172,0.039134,0.000506,77.280365
1419.252344,0.03915,0.000508,77.055237
1419.253516,0.039128,0.000508,76.997742
1419.254688,0.039183,0.000507,77.222527
1419.255859,0.039213,0.000506,77.460968
1419.257031,0.039315,0.000506,77.672905
1419.258203,0.039452,0.000507,77.859955
1419.259375,0.039377,0.000507,77.610771
1419.260547,0.03929,0.000509,77.218094
1419.261719,0.039353,0.00051,77.158829
1419.262891,0.039397,0.00051,77.321938
1419.264062,0.039389,0.000509,77.435547
1419.265234,0.03937,0.000508,77.533264
1419.266406,0.039348,0.000509,77.376183
1419.267578,0.039407,0.00051,77.252213
1419.26875,0.039524,0.000509,77.575943
1419.269922,0.039571,0.000509,77.705711
1419.271094,0.039567,0.000511,77.503494
1419.272266,0.039559,0.00051,77.596466
